Path,Lines,HasPrismaDirect,HasServiceCall,NeedsRefactor
"D:\namasoft9-3-main\src\app\api\events\route.ts",34,false,false,false
"D:\namasoft9-3-main\src\app\api\expenses\route.ts",300,true,true,false
"D:\namasoft9-3-main\src\app\api\explain\route.ts",42,false,false,false
"D:\namasoft9-3-main\src\app\api\field-service\orders\route.ts",50,false,true,false
"D:\namasoft9-3-main\src\app\api\field-service\route.ts",181,false,true,false
"D:\namasoft9-3-main\src\app\api\finance\aging\route.ts",38,false,false,false
"D:\namasoft9-3-main\src\app\api\finance\allocation\route.ts",45,false,false,false
"D:\namasoft9-3-main\src\app\api\finance\ap-aging\route.ts",158,false,false,false
"D:\namasoft9-3-main\src\app\api\finance\aro\route.ts",15,false,false,false
"D:\namasoft9-3-main\src\app\api\finance\asset-lifecycle\route.ts",155,true,false,true
"D:\namasoft9-3-main\src\app\api\finance\assets\route.ts",91,true,false,true
"D:\namasoft9-3-main\src\app\api\finance\auto-ecl\route.ts",88,true,false,true
"D:\namasoft9-3-main\src\app\api\finance\bad-debt\route.ts",23,false,false,false
"D:\namasoft9-3-main\src\app\api\finance\balance-sheet\route.ts",92,true,false,true
